time_of_day,lane_A_cars,lane_B_cars,lane_C_cars,lane_D_cars,signal_duration_A,signal_duration_B
afternoon,92,120,65,61,43,57
afternoon,55,124,37,76,30,70
night,48,37,78,55,56,44
night,45,25,100,50,64,36
afternoon,148,80,58,51,64,36
night,19,27,27,19,41,59
afternoon,100,52,42,46,65,35
evening,175,87,71,24,66,34
morning,118,75,28,19,61,39
morning,113,105,96,40,51,49
afternoon,71,46,99,34,60,40
night,12,8,82,45,60,40
afternoon,61,133,21,94,31,69
morning,92,91,87,29,50,50
night,15,3,56,68,83,17
morning,135,34,32,96,79,21
afternoon,140,146,70,83,48,52
morning,81,76,55,72,51,49
afternoon,97,121,34,54,44,56
evening,186,93,36,16,66,34
afternoon,78,142,25,25,35,65
morning,45,116,98,43,27,73
morning,141,28,93,25,83,17
evening,155,179,56,52,46,54
night,32,22,30,63,59,41
morning,42,49,16,31,46,54
afternoon,167,72,52,70,69,31
afternoon,120,103,66,98,53,47
afternoon,71,148,78,50,32,68
afternoon,149,85,86,79,63,37
night,18,40,75,16,31,69
evening,174,77,70,37,69,31
morning,111,60,84,31,64,36
evening,127,155,42,38,45,55
morning,129,74,54,84,63,37
afternoon,74,44,82,16,62,38
afternoon,90,109,43,58,45,55
morning,116,85,90,39,57,43
evening,83,173,63,73,32,68
night,38,21,75,79,64,36
night,7,33,60,28,17,83
morning,120,88,75,88,57,43
night,14,46,15,89,23,77
afternoon,125,65,65,34,65,35
night,28,20,36,58,58,42
evening,101,144,54,81,41,59
morning,69,76,47,21,47,53
evening,108,113,98,72,48,52
afternoon,65,44,32,97,59,41
afternoon,108,123,29,68,46,54
evening,186,175,93,26,51,49
evening,200,79,68,39,71,29
morning,121,108,67,52,52,48
night,1,35,98,81,2,98
morning,73,99,55,51,42,58
afternoon,157,96,68,95,62,38
afternoon,90,102,51,55,46,54
evening,180,148,22,52,54,46
night,27,41,64,24,39,61
morning,47,62,82,84,43,57
evening,106,73,80,38,59,41
evening,171,156,98,30,52,48
night,36,5,45,99,87,13
night,23,17,72,36,57,43
afternoon,89,91,77,11,49,51
night,27,47,47,73,36,64
night,29,33,20,100,46,54
afternoon,122,142,58,19,46,54
morning,67,34,56,90,66,34
morning,100,117,40,43,46,54
night,9,17,43,65,34,66
morning,40,68,48,42,37,63
evening,139,129,29,15,51,49
evening,158,77,62,61,67,33
morning,141,59,41,77,70,30
afternoon,119,140,63,69,45,55
afternoon,53,90,33,62,37,63
night,0,9,93,73,0,100
morning,116,95,65,25,54,46
afternoon,159,40,46,60,79,21
night,49,15,17,19,76,24
night,10,26,91,91,27,73
night,30,33,82,66,47,53
evening,134,141,66,43,48,52
morning,150,73,30,75,67,33
morning,40,44,44,100,47,53
night,22,32,38,68,40,60
evening,71,112,43,12,38,62
night,28,1,100,87,96,4
morning,89,44,41,46,66,34
afternoon,53,126,29,92,29,71
morning,35,106,27,89,24,76
morning,35,100,31,41,25,75
morning,88,46,26,52,65,35
afternoon,59,124,49,35,32,68
night,19,27,49,54,41,59
night,13,1,90,14,92,8
evening,112,114,10,38,49,51
evening,197,68,35,76,74,26
evening,119,148,82,55,44,56
afternoon,103,91,94,82,53,47
night,2,47,48,65,4,96
afternoon,164,140,77,36,53,47
morning,110,22,50,32,83,17
evening,168,75,91,32,69,31
afternoon,92,147,40,20,38,62
morning,62,97,39,28,38,62
afternoon,157,55,12,97,74,26
afternoon,77,71,50,83,52,48
night,20,13,32,68,60,40
night,27,50,49,17,35,65
morning,92,36,18,39,71,29
evening,93,163,63,39,36,64
morning,86,58,10,98,59,41
afternoon,152,89,71,93,63,37
afternoon,84,139,65,55,37,63
night,50,11,85,35,81,19
night,33,19,94,48,63,37
evening,189,171,45,70,52,48
evening,117,124,62,14,48,52
morning,127,75,74,99,62,38
afternoon,180,106,13,13,62,38
afternoon,143,66,29,50,68,32
afternoon,124,131,78,26,48,52
night,37,28,31,30,56,44
morning,79,33,13,79,70,30
morning,86,30,42,57,74,26
morning,85,55,82,44,60,40
night,25,1,59,77,96,4
morning,93,46,41,48,66,34
afternoon,101,108,92,37,48,52
evening,84,69,33,36,54,46
night,40,10,34,77,80,20
night,7,30,79,96,18,82
morning,46,56,38,27,45,55
afternoon,162,150,94,58,51,49
morning,89,43,13,89,67,33
morning,124,62,27,16,66,34
evening,194,153,44,98,55,45
afternoon,76,89,87,31,46,54
afternoon,165,107,71,36,60,40
afternoon,132,128,86,89,50,50
night,48,19,29,31,71,29
evening,90,103,25,65,46,54
evening,81,96,29,39,45,55
afternoon,132,102,34,40,56,44
afternoon,106,85,61,36,55,45
night,16,48,64,83,25,75
afternoon,174,145,39,29,54,46
evening,147,145,98,65,50,50
night,42,48,44,87,46,54
evening,165,164,16,34,50,50
morning,88,55,57,28,61,39
morning,43,102,22,83,29,71
afternoon,106,65,47,21,61,39
afternoon,160,90,16,33,64,36
evening,123,80,68,16,60,40
morning,142,22,16,98,86,14
afternoon,135,96,99,54,58,42
evening,99,170,46,25,36,64
evening,70,142,44,43,33,67
morning,37,86,100,10,30,70
night,9,13,30,89,40,60
morning,86,119,31,78,41,59
evening,82,76,44,79,51,49
evening,101,95,69,49,51,49
morning,140,58,28,38,70,30
evening,97,160,39,66,37,63
evening,100,152,63,68,39,61
morning,56,76,27,30,42,58
afternoon,89,110,54,100,44,56
morning,53,23,33,73,69,31
afternoon,94,91,30,19,50,50
night,3,11,61,52,21,79
night,15,27,59,89,35,65
evening,95,136,20,65,41,59
afternoon,116,135,85,50,46,54
night,6,46,14,80,11,89
afternoon,69,111,90,25,38,62
afternoon,53,123,70,57,30,70
night,17,46,47,76,26,74
afternoon,140,83,51,25,62,38
night,10,26,90,97,27,73
night,29,28,80,33,50,50
evening,170,136,76,76,55,45
evening,95,170,91,83,35,65
morning,144,63,16,69,69,31
night,11,17,56,68,39,61
night,12,26,47,29,31,69
morning,94,96,58,92,49,51
night,49,14,62,33,77,23
morning,40,42,67,11,48,52
morning,101,103,80,60,49,51
night,19,48,18,86,28,72
evening,118,60,97,49,66,34
afternoon,131,121,57,37,51,49
morning,79,33,49,48,70,30
morning,139,29,25,64,82,18
afternoon,76,66,40,15,53,47
night,9,46,44,10,16,84
night,34,1,15,13,97,3
night,21,37,67,41,36,64
morning,110,69,50,23,61,39
afternoon,76,149,80,54,33,67
night,31,34,37,54,47,53
evening,87,61,22,42,58,42
night,23,3,33,95,88,12
morning,74,65,71,82,53,47
night,3,33,89,18,8,92
night,10,17,75,52,37,63
evening,71,163,50,86,30,70
morning,93,30,47,63,75,25
afternoon,149,43,32,28,77,23
night,34,26,52,30,56,44
night,40,24,22,69,62,38
afternoon,119,145,23,58,45,55
night,45,33,43,17,57,43
evening,116,77,29,59,60,40
afternoon,144,92,64,95,61,39
afternoon,79,101,89,87,43,57
afternoon,175,106,15,87,62,38
afternoon,90,59,23,95,60,40
night,15,1,50,25,93,7
morning,92,103,72,38,47,53
morning,73,86,75,60,45,55
morning,76,34,67,87,69,31
morning,115,72,44,17,61,39
night,15,35,48,81,30,70
night,35,2,23,76,94,6
afternoon,106,45,75,86,70,30
night,27,0,91,67,100,0
afternoon,106,83,58,59,56,44
afternoon,72,89,27,61,44,56
evening,145,135,70,45,51,49
afternoon,102,87,47,94,53,47
night,27,44,63,25,38,62
night,35,13,66,53,72,28
morning,47,98,29,72,32,68
evening,187,96,100,15,66,34
night,38,20,58,68,65,35
morning,39,115,50,55,25,75
afternoon,168,66,62,27,71,29
morning,131,75,49,49,63,37
night,19,17,34,84,52,48
afternoon,158,80,77,48,66,34
night,13,4,16,82,76,24
evening,164,108,63,67,60,40
afternoon,155,63,75,89,71,29
afternoon,159,119,42,65,57,43
night,8,2,23,31,80,20
evening,73,117,56,54,38,62
evening,76,180,18,48,29,71
afternoon,77,106,15,28,42,58
morning,145,70,64,40,67,33
evening,113,175,10,60,39,61
night,33,7,57,46,82,18
afternoon,119,105,14,34,53,47
afternoon,177,97,55,36,64,36
night,17,42,84,59,28,72
morning,53,96,49,87,35,65
evening,199,100,69,100,66,34
morning,114,77,69,44,59,41
evening,159,78,34,80,67,33
evening,142,90,23,11,61,39
night,26,10,14,41,72,28
morning,120,94,95,95,56,44
evening,126,134,41,67,48,52
afternoon,52,138,66,41,27,73
evening,156,78,87,58,66,34
afternoon,159,114,59,72,58,42
evening,81,81,93,39,50,50
afternoon,114,62,38,87,64,36
morning,114,56,50,83,67,33
afternoon,117,66,60,15,63,37
afternoon,136,138,81,24,49,51
afternoon,131,68,72,12,65,35
evening,134,84,42,15,61,39
night,23,35,19,95,39,61
morning,111,96,47,27,53,47
morning,114,86,28,29,56,44
evening,86,90,34,86,48,52
evening,146,173,67,35,45,55
morning,147,57,52,69,72,28
morning,46,39,34,58,54,46
evening,104,170,32,66,37,63
evening,106,146,55,65,42,58
night,3,21,83,99,12,88
night,2,9,71,36,18,82
afternoon,137,40,18,17,77,23
evening,120,67,70,86,64,36
afternoon,102,79,59,55,56,44
afternoon,83,52,27,47,61,39
afternoon,154,107,83,94,59,41
night,41,27,50,37,60,40
evening,110,137,84,56,44,56
night,5,21,32,98,19,81
evening,82,113,59,85,42,58
morning,133,21,26,83,86,14
evening,145,117,90,50,55,45
afternoon,128,47,51,45,73,27
evening,182,107,50,31,62,38
evening,159,142,69,49,52,48
morning,35,106,12,76,24,76
afternoon,120,127,91,39,48,52
evening,192,170,69,97,53,47
night,34,48,98,61,41,59
evening,157,79,12,37,66,34
night,14,8,50,83,63,37
afternoon,71,141,82,73,33,67
night,21,30,57,94,41,59
evening,129,116,69,96,52,48
evening,178,131,14,95,57,43
morning,47,49,99,89,48,52
afternoon,88,142,23,43,38,62
morning,120,50,11,83,70,30
afternoon,176,114,100,76,60,40
evening,181,122,48,81,59,41
evening,180,80,99,94,69,31
afternoon,171,142,96,51,54,46
morning,76,38,71,61,66,34
evening,180,180,30,15,50,50
evening,124,136,74,97,47,53
afternoon,79,136,22,18,36,64
evening,130,119,49,52,52,48
night,43,49,74,13,46,54
night,18,5,62,13,78,22
night,36,48,70,85,42,58
morning,52,72,82,71,41,59
night,14,28,89,22,33,67
morning,110,22,95,19,83,17
morning,105,23,95,50,82,18
evening,155,136,11,18,53,47
night,49,50,21,42,49,51
morning,71,33,100,58,68,32
morning,89,56,98,38,61,39
afternoon,118,111,51,92,51,49
morning,108,26,31,23,80,20
morning,138,104,27,74,57,43
evening,190,111,16,87,63,37
evening,141,94,52,38,60,40
morning,75,90,74,48,45,55
morning,78,52,89,21,60,40
morning,98,90,24,99,52,48
night,6,37,36,25,13,87
evening,81,134,89,64,37,63
night,21,46,79,20,31,69
morning,96,82,45,79,53,47
evening,157,116,44,96,57,43
night,2,1,70,36,66,34
morning,30,26,25,74,53,47
evening,178,156,33,52,53,47
evening,189,122,33,84,60,40
evening,174,60,75,70,74,26
afternoon,100,100,73,82,50,50
night,48,8,81,54,85,15
evening,144,130,79,68,52,48
evening,118,162,33,32,42,58
afternoon,89,101,49,49,46,54
night,23,27,98,43,46,54
morning,59,88,21,35,40,60
night,4,27,42,21,12,88
morning,53,57,35,100,48,52
afternoon,131,111,97,100,54,46
afternoon,68,57,89,82,54,46
morning,101,48,62,35,67,33
night,11,44,38,84,20,80
evening,176,170,98,90,50,50
afternoon,122,105,66,68,53,47
morning,145,34,55,14,81,19
morning,125,106,26,85,54,46
afternoon,113,50,88,92,69,31
evening,87,123,21,98,41,59
morning,88,28,10,13,75,25
morning,86,79,60,81,52,48
morning,138,105,92,87,56,44
evening,191,88,61,29,68,32
evening,78,153,96,27,33,67
morning,100,88,80,88,53,47
morning,122,29,98,76,80,20
morning,140,59,20,15,70,30
afternoon,130,98,45,98,57,43
evening,112,161,25,71,41,59
night,18,5,52,77,78,22
evening,73,97,14,64,42,58
morning,94,62,48,28,60,40
afternoon,179,133,89,35,57,43
morning,121,110,56,44,52,48
evening,109,126,50,98,46,54
afternoon,95,54,30,68,63,37
afternoon,117,93,75,84,55,45
morning,35,114,26,59,23,77
night,11,3,22,28,78,22
evening,86,147,20,21,36,64
morning,115,29,62,42,79,21
morning,40,28,41,65,58,42
evening,154,105,48,17,59,41
morning,143,97,87,83,59,41
afternoon,58,48,40,12,54,46
morning,99,43,69,59,69,31
morning,77,108,43,42,41,59
morning,132,24,13,26,84,16
morning,128,107,56,81,54,46
evening,87,119,44,51,42,58
evening,96,118,69,10,44,56
afternoon,130,63,53,77,67,33
evening,183,101,55,80,64,36
afternoon,81,48,67,19,62,38
morning,82,40,52,16,67,33
night,36,6,88,30,85,15
evening,73,88,98,40,45,55
evening,143,127,53,19,52,48
afternoon,103,84,46,85,55,45
night,11,8,65,15,57,43
afternoon,163,45,43,65,78,22
afternoon,62,142,57,36,30,70
night,38,41,81,39,48,52
afternoon,176,84,38,58,67,33
evening,159,127,50,43,55,45
afternoon,74,57,42,72,56,44
afternoon,130,130,80,83,50,50
evening,167,79,57,58,67,33
night,9,0,24,16,100,0
afternoon,122,104,99,18,53,47
night,31,21,60,22,59,41
night,30,24,83,75,55,45
afternoon,101,75,53,98,57,43
afternoon,112,126,86,48,47,53
evening,150,115,28,55,56,44
morning,84,40,10,65,67,33
evening,108,132,28,95,45,55
night,13,7,99,90,65,35
afternoon,51,148,33,86,25,75
night,26,3,18,95,89,11
afternoon,73,112,29,55,39,61
morning,53,104,46,62,33,67
morning,138,42,29,56,76,24
morning,107,57,98,66,65,35
morning,86,95,51,84,47,53
morning,73,77,21,87,48,52
morning,143,72,25,92,66,34
morning,62,55,11,63,52,48
morning,94,50,75,34,65,35
evening,107,137,72,88,43,57
night,21,2,68,28,91,9
morning,54,33,42,93,62,38
evening,124,152,64,60,44,56
morning,60,74,48,72,44,56
night,6,22,16,51,21,79
morning,77,63,41,89,55,45
night,17,18,59,83,48,52
evening,178,124,17,22,58,42
evening,193,106,91,70,64,36
evening,189,146,51,18,56,44
night,24,39,35,70,38,62
night,41,25,35,56,62,38
afternoon,75,149,14,31,33,67
morning,116,22,61,74,84,16
morning,30,107,48,86,21,79
morning,90,109,37,69,45,55
night,11,0,46,66,100,0
night,31,32,51,11,49,51
morning,68,88,28,42,43,57
afternoon,163,126,88,33,56,44
night,27,7,56,38,79,21
afternoon,104,125,92,93,45,55
night,50,32,47,89,60,40
morning,122,79,57,89,60,40
afternoon,86,138,82,74,38,62
afternoon,89,147,16,51,37,63
evening,146,174,82,83,45,55
night,19,17,16,36,52,48
morning,105,102,35,83,50,50
evening,159,73,12,81,68,32
morning,39,83,61,61,31,69
morning,138,62,35,52,69,31
morning,118,24,93,80,83,17
afternoon,133,68,38,98,66,34
afternoon,114,76,35,41,60,40
evening,188,86,47,44,68,32
evening,115,119,37,82,49,51
night,26,25,80,36,50,50
night,8,40,46,96,16,84
afternoon,142,81,19,31,63,37
evening,178,164,27,48,52,48
evening,137,126,97,34,52,48
afternoon,111,117,55,50,48,52
evening,163,70,76,45,69,31
afternoon,104,92,26,53,53,47
night,18,3,64,88,85,15
afternoon,112,86,10,62,56,44
night,18,3,38,24,85,15
morning,52,25,13,20,67,33
morning,105,83,36,16,55,45
afternoon,92,134,27,71,40,60
morning,137,42,63,27,76,24
night,22,38,68,42,36,64
morning,112,45,69,48,71,29
night,13,8,28,26,61,39
afternoon,66,129,50,62,33,67
morning,35,113,73,74,23,77
night,30,11,56,66,73,27
morning,121,24,98,23,83,17
night,50,25,10,72,66,34
morning,48,86,20,10,35,65
morning,71,101,16,42,41,59
night,50,29,65,80,63,37
morning,106,109,20,68,49,51
evening,154,64,75,71,70,30
afternoon,157,87,87,55,64,36
evening,197,141,15,32,58,42
night,37,35,91,86,51,49
afternoon,95,110,54,87,46,54
night,32,26,17,59,55,45
afternoon,154,119,15,65,56,44
evening,161,162,96,25,49,51
night,13,45,51,49,22,78
night,44,20,54,44,68,32
morning,84,68,78,70,55,45
evening,180,142,19,57,55,45
afternoon,55,72,43,75,43,57
night,39,6,36,53,86,14
evening,148,121,91,57,55,45
night,41,39,53,99,51,49
afternoon,153,127,63,73,54,46
morning,133,63,74,85,67,33
morning,33,119,72,33,21,79
night,2,27,36,65,6,94
evening,162,76,63,23,68,32
evening,194,121,96,42,61,39
morning,148,21,40,33,87,13
evening,189,127,82,81,59,41
evening,84,61,75,11,57,43
night,12,16,52,92,42,58
afternoon,175,79,54,15,68,32
evening,71,146,98,52,32,68
morning,134,33,47,66,80,20
morning,108,85,77,28,55,45
evening,140,148,39,62,48,52
afternoon,117,80,65,71,59,41
morning,70,25,92,25,73,27
morning,140,105,53,100,57,43
evening,138,81,20,93,63,37
night,13,16,51,59,44,56
morning,93,60,41,62,60,40
afternoon,89,129,98,29,40,60
night,12,32,56,31,27,73
afternoon,118,69,52,94,63,37
evening,79,92,18,34,46,54
morning,88,120,56,22,42,58
night,50,49,85,98,50,50
morning,62,35,86,74,63,37
night,38,30,66,81,55,45
morning,59,93,46,71,38,62
evening,96,120,80,14,44,56
evening,191,62,85,48,75,25
evening,126,133,75,47,48,52
morning,75,31,88,30,70,30
afternoon,89,49,41,100,64,36
afternoon,172,68,76,36,71,29
afternoon,86,41,90,74,67,33
morning,37,66,27,26,35,65
morning,48,67,55,40,41,59
afternoon,96,64,47,73,60,40
afternoon,63,146,33,71,30,70
evening,176,177,32,79,49,51
afternoon,163,41,18,53,79,21
night,47,15,30,36,75,25
afternoon,106,116,54,12,47,53
morning,42,62,56,27,40,60
evening,107,60,28,27,64,36
night,36,49,38,41,42,58
evening,123,160,98,43,43,57
morning,148,81,50,83,64,36
night,33,2,30,14,94,6
evening,93,141,36,94,39,61
afternoon,161,129,49,18,55,45
night,6,36,46,35,14,86
evening,98,69,85,13,58,42
evening,157,110,68,69,58,42
evening,176,134,21,50,56,44
night,30,20,87,70,60,40
night,48,8,58,93,85,15
afternoon,147,140,100,40,51,49
evening,192,143,12,53,57,43
night,14,44,30,66,24,76
afternoon,172,109,85,30,61,39
evening,132,178,65,92,42,58
evening,140,74,62,37,65,35
morning,43,108,69,84,28,72
morning,49,67,98,35,42,58
morning,51,102,15,79,33,67
night,11,14,35,77,44,56
evening,100,136,100,88,42,58
night,44,22,65,48,66,34
night,9,19,32,70,32,68
morning,88,105,19,68,45,55
morning,75,115,33,41,39,61
afternoon,127,103,23,44,55,45
night,10,10,79,15,50,50
afternoon,82,149,70,60,35,65
afternoon,139,90,73,100,60,40
morning,93,72,58,42,56,44
morning,94,30,94,60,75,25
evening,177,164,41,96,51,49
evening,183,134,29,11,57,43
evening,148,109,91,58,57,43
evening,153,102,66,27,60,40
night,31,16,45,66,65,35
afternoon,51,44,28,77,53,47
afternoon,180,125,55,50,59,41
afternoon,94,90,30,62,51,49
afternoon,116,115,72,29,50,50
night,14,40,93,92,25,75
afternoon,56,126,63,20,30,70
morning,104,49,49,46,67,33
afternoon,167,110,56,91,60,40
morning,77,71,70,76,52,48
night,26,38,27,50,40,60
evening,72,142,69,39,33,67
afternoon,86,104,54,12,45,55
night,8,17,83,85,32,68
evening,185,167,84,87,52,48
afternoon,81,68,62,64,54,46
evening,184,180,54,43,50,50
night,19,20,47,61,48,52
morning,97,101,15,43,48,52
night,49,29,95,94,62,38
afternoon,137,56,41,89,70,30
morning,110,80,93,39,57,43
afternoon,107,88,76,96,54,46
night,15,29,51,16,34,66
afternoon,109,92,84,52,54,46
night,36,14,85,53,72,28
evening,93,103,20,44,47,53
afternoon,141,50,43,85,73,27
afternoon,169,124,30,26,57,43
night,39,20,24,36,66,34
afternoon,73,40,64,42,64,36
evening,187,100,25,73,65,35
morning,133,117,17,84,53,47
night,39,33,42,58,54,46
morning,139,114,12,33,54,46
night,5,23,19,38,17,83
evening,164,135,50,28,54,46
morning,87,58,64,56,60,40
evening,72,62,75,58,53,47
evening,194,105,21,59,64,36
evening,72,119,62,33,37,63
evening,86,69,50,21,55,45
evening,147,134,35,57,52,48
evening,97,88,50,87,52,48
evening,120,166,35,12,41,59
morning,55,104,62,34,34,66
evening,73,141,100,15,34,66
evening,82,139,74,93,37,63
night,43,34,74,61,55,45
evening,161,90,90,99,64,36
evening,85,135,33,73,38,62
evening,88,142,61,84,38,62
afternoon,172,108,71,26,61,39
night,18,23,47,78,43,57
afternoon,58,93,77,73,38,62
morning,150,67,19,90,69,31
afternoon,107,134,92,93,44,56
morning,92,66,14,68,58,42
morning,118,37,99,94,76,24
night,40,42,63,19,48,52
morning,87,42,50,12,67,33
evening,71,162,53,85,30,70
night,34,43,74,49,44,56
morning,136,77,46,97,63,37
night,12,17,86,72,41,59
evening,159,142,69,36,52,48
evening,86,139,93,40,38,62
morning,143,96,34,84,59,41
afternoon,159,47,24,92,77,23
morning,88,42,96,18,67,33
evening,114,98,25,92,53,47
afternoon,167,146,37,62,53,47
night,32,32,46,20,50,50
evening,94,125,47,36,42,58
afternoon,168,85,26,51,66,34
night,39,7,81,66,84,16
night,45,23,34,85,66,34
morning,35,38,23,31,47,53
evening,162,133,92,34,54,46
evening,116,94,17,43,55,45
morning,87,74,27,76,54,46
morning,38,57,18,20,40,60
night,35,43,53,27,44,56
evening,194,67,31,45,74,26
morning,67,89,30,22,42,58
afternoon,96,140,65,61,40,60
evening,80,158,12,44,33,67
afternoon,55,109,17,44,33,67
night,25,41,90,43,37,63
evening,166,68,21,85,70,30
night,18,23,33,18,43,57
afternoon,85,148,62,42,36,64
afternoon,172,51,96,18,77,23
night,41,48,24,54,46,54
morning,122,25,50,54,82,18
morning,110,77,41,22,58,42
night,28,5,91,78,84,16
morning,141,92,57,36,60,40
morning,96,115,35,71,45,55
night,46,18,90,79,71,29
morning,83,112,39,82,42,58
evening,131,64,65,48,67,33
morning,130,23,46,37,84,16
afternoon,95,89,53,78,51,49
morning,79,117,100,36,40,60
night,7,10,73,27,41,59
afternoon,171,74,40,53,69,31
evening,148,112,13,32,56,44
morning,132,71,16,21,65,35
night,42,4,45,42,91,9
night,21,20,31,47,51,49
afternoon,129,91,64,98,58,42
evening,130,127,77,35,50,50
morning,92,96,79,59,48,52
morning,103,78,49,58,56,44
night,1,21,37,15,4,96
evening,136,142,53,16,48,52
evening,187,107,61,47,63,37
evening,150,145,66,41,50,50
afternoon,174,141,54,29,55,45
morning,141,97,90,77,59,41
morning,37,74,76,63,33,67
morning,120,28,75,26,81,19
morning,128,110,26,37,53,47
night,49,21,30,75,70,30
afternoon,60,98,85,51,37,63
evening,139,107,29,100,56,44
afternoon,58,138,60,80,29,71
morning,138,82,53,58,62,38
morning,32,60,58,92,34,66
night,32,27,27,72,54,46
evening,133,167,14,71,44,56
evening,105,130,73,41,44,56
morning,66,40,12,53,62,38
afternoon,83,136,58,35,37,63
night,50,23,24,41,68,32
morning,138,62,24,99,69,31
afternoon,170,71,61,98,70,30
evening,109,110,49,22,49,51
morning,126,52,15,18,70,30
afternoon,103,67,65,97,60,40
evening,200,126,37,99,61,39
afternoon,117,97,76,96,54,46
night,5,8,82,56,38,62
afternoon,169,42,20,15,80,20
evening,181,163,51,60,52,48
afternoon,97,91,38,37,51,49
night,15,4,15,10,78,22
afternoon,147,47,100,58,75,25
morning,130,104,28,42,55,45
evening,165,163,33,29,50,50
afternoon,88,122,98,71,41,59
night,17,43,34,70,28,72
afternoon,113,109,100,89,50,50
afternoon,53,102,92,94,34,66
afternoon,149,70,52,96,68,32
night,0,13,31,62,0,100
afternoon,67,139,27,25,32,68
evening,127,136,22,27,48,52
evening,101,85,54,95,54,46
afternoon,117,54,18,27,68,32
night,11,39,30,59,22,78
evening,81,142,42,71,36,64
morning,44,109,51,67,28,72
morning,149,72,13,48,67,33
evening,136,133,42,45,50,50
morning,69,88,50,20,43,57
evening,125,115,68,76,52,48
afternoon,72,104,62,12,40,60
evening,95,63,13,76,60,40
evening,179,112,51,100,61,39
night,44,46,17,52,48,52
night,32,1,89,85,96,4
afternoon,176,46,73,11,79,21
afternoon,88,123,47,18,41,59
morning,133,35,66,50,79,21
afternoon,76,48,55,33,61,39
afternoon,131,64,36,89,67,33
night,38,8,65,80,82,18
evening,109,89,10,58,55,45
night,7,40,63,26,14,86
afternoon,109,80,43,52,57,43
evening,126,87,72,67,59,41
night,6,37,42,74,13,87
afternoon,86,91,55,51,48,52
evening,129,164,45,94,44,56
afternoon,139,59,83,62,70,30
night,36,16,55,28,69,31
night,14,25,74,32,35,65
morning,101,104,66,98,49,51
afternoon,92,47,78,10,66,34
evening,196,113,76,35,63,37
evening,179,173,28,46,50,50
night,16,7,58,72,69,31
morning,113,103,53,82,52,48
night,43,11,78,46,79,21
afternoon,55,40,98,99,57,43
morning,30,67,42,30,30,70
morning,62,110,45,75,36,64
morning,78,28,10,40,73,27
night,36,2,19,11,94,6
night,40,32,11,53,55,45
night,3,7,80,25,30,70
morning,147,46,37,32,76,24
afternoon,78,105,67,59,42,58
night,1,17,14,50,5,95
evening,122,177,48,70,40,60
evening,175,177,85,54,49,51
morning,35,35,12,84,50,50
afternoon,54,73,20,23,42,58
night,24,36,40,13,40,60
night,38,25,10,90,60,40
evening,196,133,67,56,59,41
afternoon,132,62,88,62,68,32
night,28,36,49,28,43,57
evening,155,149,78,75,50,50
afternoon,110,47,20,60,70,30
night,28,7,34,34,80,20
afternoon,127,112,86,55,53,47
morning,138,23,59,59,85,15
evening,156,179,47,58,46,54
afternoon,150,56,78,65,72,28
evening,194,100,97,80,65,35
morning,107,83,44,15,56,44
morning,43,33,68,35,56,44
afternoon,157,107,18,70,59,41
morning,99,91,13,86,52,48
night,44,19,55,55,69,31
morning,147,70,29,27,67,33
evening,145,62,24,20,70,30
afternoon,161,140,56,31,53,47
evening,124,115,51,58,51,49
night,38,39,38,27,49,51
evening,99,75,13,79,56,44
evening,116,140,24,90,45,55
evening,76,70,77,72,52,48
afternoon,130,111,82,66,53,47
night,47,37,94,92,55,45
morning,35,37,29,48,48,52
afternoon,67,120,61,64,35,65
afternoon,55,110,90,79,33,67
evening,127,140,68,27,47,53
night,6,7,89,51,46,54
afternoon,54,130,86,32,29,71
morning,83,83,75,31,50,50
afternoon,134,125,65,76,51,49
night,16,10,22,71,61,39
night,44,13,96,56,77,23
afternoon,175,93,22,33,65,35
afternoon,177,72,11,82,71,29
night,32,20,87,89,61,39
evening,146,166,43,17,46,54
afternoon,136,138,42,12,49,51
afternoon,75,139,56,77,35,65
evening,115,63,93,64,64,36
night,49,8,42,28,85,15
morning,104,38,82,34,73,27
evening,154,169,47,45,47,53
morning,98,65,35,32,60,40
night,27,5,44,83,84,16
morning,54,48,77,95,52,48
afternoon,164,63,63,75,72,28
afternoon,152,100,28,32,60,40
evening,95,144,21,53,39,61
evening,128,96,25,81,57,43
evening,150,111,38,88,57,43
afternoon,65,106,62,83,38,62
evening,169,170,38,86,49,51
evening,193,166,91,28,53,47
night,34,39,73,12,46,54
afternoon,172,92,84,46,65,35
night,41,49,13,27,45,55
night,0,36,20,80,0,100
afternoon,123,133,85,56,48,52
evening,107,95,66,16,52,48
afternoon,161,94,62,50,63,37
morning,146,57,92,95,71,29
night,48,39,67,94,55,45
morning,77,21,70,70,78,22
morning,141,25,91,83,84,16
evening,169,75,40,73,69,31
morning,128,79,35,33,61,39
night,3,18,51,89,14,86
night,12,0,28,95,100,0
night,32,8,89,26,80,20
night,42,39,55,89,51,49
morning,53,113,49,90,31,69
afternoon,50,55,90,44,47,53
afternoon,68,62,14,20,52,48
morning,146,91,12,23,61,39
evening,194,174,83,18,52,48
night,2,0,78,77,100,0
afternoon,110,116,99,52,48,52
afternoon,120,61,17,64,66,34
evening,163,87,11,78,65,35
night,18,30,68,54,37,63
morning,87,98,10,80,47,53
afternoon,53,123,54,54,30,70
night,15,13,11,67,53,47
night,34,19,25,63,64,36
night,10,13,100,81,43,57
evening,98,73,51,93,57,43
night,5,43,100,83,10,90
morning,90,109,87,14,45,55
night,40,3,73,25,93,7
afternoon,101,79,18,25,56,44
